coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_roaster_location;roaster_country;origin_country_clean
Duwancho Natural Ethiopia;94.0;Madison, Wisconsin;Sidamo growing region, southern Ethiopia;Light;$28.00/12 ounces;61.0;82.0;8,23;28.0;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Colombia Finca Santa Barbara Gesha Anaerobic Honey;95.0;Floyd, Virginia;Algeciras, Huila Department, Colombia;Light;$32.00/12 ounces;63.0;87.0;9,41;32.0;Colombia;Floyd, Virginia;USA;Colombia
Colombia Faver Emir Ninco Pink Bourbon;94.0;Taipei, Taiwan;Santa Maria, Huila Department, Colombia;Light;NT $559/8 ounces;61.0;81.0;246,47;559.0;Colombia;Taipei, Taiwan;Taiwan;Colombia
Ethiopia Yirgacheffe Earl Grey Peach;94.0;Taipei, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $329/8 ounces;65.0;87.0;145,06;329.0;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Colombia Cauca Lusitania Geisha Washed;94.0;Taipei, Taiwan;Caicedonia, Cauca Department, Colombia;Light;NT $470/100 grams;66.0;88.0;470;16.57848324514991;Colombia;Taipei, Taiwan;Taiwan;Colombia
Kenya Kirinyaga Karamundi Washed AB;95.0;Taichung, Taiwan;Kirinyaga District, south-central Kenya;Light;NT $480/8 ounces;66.0;86.0;211,64;480.0;Kenya;Taichung, Taiwan;Taiwan;Kenya
Kaʻū Morning Glory;97.0;Hilo, Hawai’i Island, Hawai’i;Kaʻū growing region, Hawai’i Island, Hawai’i;Light;$19.00/4 ounces;62.0;84.0;16,75;19.0;;Hilo, Hawaii;USA;
Kaʻū Yellow Bourbon;95.0;Hilo, Hawai’i Island, Hawai’i;Kaʻū growing region, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;60.0;80.0;15,52;44.0;;Hilo, Hawaii;USA;
Colombia San Adolfo Huila;95.0;San Diego, California;Huila Department, Colombia;Light;$40.00/8 ounces;65.0;87.0;17,64;40.0;Colombia;San Diego, California;USA;Colombia
Rwanda Kungahara Carbonic Maceration;95.0;Floyd, Virginia;Rustiro, Rwanda;Light;$28.00/12 ounces;64.0;86.0;8,23;28.0;Rwanda;Floyd, Virginia;USA;Rwanda
Ecuador La Papaya Pacamara;95.0;Fort Wayne, Indiana;Saraguro, Loja, Ecuador;Light;$29.00/8 ounces;64.0;86.0;12,79;29.0;Ecuador;Fort Wayne, Indiana;USA;Ecuador
Peru Churupampa Pacamara;94.0;Fort Wayne, Indiana;Jaén, Cajamarca, Peru;Medium Light;$22.00/12 ounces;59.0;80.0;6,47;22.0;Peru;Fort Wayne, Indiana;USA;Peru
Ethiopia Ayla Sidamo;95.0;Fort Wayne, Indiana;Sidamo growing region, southern Ethiopia;Light;$20.00/ 12 ounces;62.0;84.0;5,88;20.0;Ethiopia;Fort Wayne, Indiana;USA;Ethiopia
Ethiopia Mullugeta Muntasha;94.0;Fort Wayne, Indiana;Bursa Village, Arbegona, Sidama growing region, southern Ethiopia;Medium Light;$23.00/12 ounces;61.0;79.0;6,76;23.0;Ethiopia;Fort Wayne, Indiana;USA;Ethiopia
Ka’u Giant Maragogipe;94.0;Hilo, Hawai'i;Ka’u growing region, Hawai’i Island, Hawai’i;Medium Light;$42.00/10 ounces;52.0;73.0;14,81;42.0;;Hilo, Hawaii;USA;
Ka’u Red Bourbon;95.0;Hilo, Hawai'i;Ka’u growing region, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;60.0;78.0;15,52;44.0;;Hilo, Hawaii;USA;
Kona Bloom;94.0;Hilo, Hawai'i;Kona District, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;57.0;78.0;15,52;44.0;;Hilo, Hawaii;USA;
Guatemala Retiro del Quisaya Washed Process;94.0;Durango, Colorado;San Martin Jilotepeque, Chimaltenango Department, Guatemala;Medium Light;$19.95/12 ounces;57.0;79.0;5,86;19.95;Guatemala;Durango, Colorado;USA;Guatemala
Ethiopian Single Origin;94.0;Norfolk, Virginia;Ethiopia;Medium Light;$16.99/12 ounces;52.0;74.0;4,99;16.99;Ethiopia;Norfolk, Virginia;USA;Ethiopia
Colombia Finca Al Paraiso Y–05 Lychee;95.0;Glendale, California;Piendamó, Cauca Department, Colombia;Medium;$30.50/12 ounces;52.0;64.0;8,97;45807.0;Colombia;Glendale, California;USA;Colombia
Colombia Las Perlitas Anaerobic Honey;94.0;Santa Fe, New Mexico;Medellin, Colombia;Medium Light;$25.00/227 grams;59.0;81.0;11,01;0.8818342151675485;Colombia;Santa Fe, New Mexico;USA;Colombia
Panama Altieri Luci Geisha Natural Cold Dry Ferment;94.0;Los Angeles, California;Boquete growing region, western Panama;Medium Light;$59.95/170 grams;58.0;81.0;35,26;2.114638447971781;Panama;Los Angeles, California;USA;Panama
Costa Rica La Minita;94.0;Tulsa, Oklahoma;Los Santos, Tarrazú, Costa Rica;Medium Light;$22.00/12 ounces;56.0;82.0;6,47;22.0;Rica;Tulsa, Oklahoma;USA;Costa Rica
Ethiopia Guji Grape GildVine Natural G1;94.0;Tainan, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Light;NT $500/227 grams;67.0;88.0;220,26;17.636684303350968;Ethiopia;Tainan, Taiwan;Taiwan;Ethiopia
Kenya Baragwi Guama AA Washed;95.0;Baronett, Wisconsin;Guama Village, Kirinyaga County, Kenya;Light;$21.00/12 ounces;61.0;83.0;6,17;21.0;Kenya;Barronett, Wisconsin;USA;Kenya
Potosi Pink Bourbon Natural Colombia;96.0;Madison, Wisconsin;Trujillo, Valle Del Cauca, Cauca Department, Colombia;Light;$29.00/8 ounces;64.0;86.0;12,79;29.0;Colombia;Madison, Wisconsin;USA;Colombia
Wilton Benitez Sudan Rume Colombia;95.0;Madison, Wisconsin;Piendamó, Cauca Department, Colombia;Light;$25.00/8 ounces;62.0;82.0;11,02;25.0;Colombia;Madison, Wisconsin;USA;Colombia
Kangocho Kenya;95.0;Madison, Wisconsin;Nyeri County, Kenya;Medium Light;$25.00/12 ounces;59.0;81.0;7,35;25.0;Kenya;Madison, Wisconsin;USA;Kenya
La Esperanza Mandela;95.0;Madison, Wisconsin;Trujillo, Valle Del Cauca, Cauca Department, Colombia;Light;$27.00/8 ounces;62.0;80.0;11,9;27.0;Colombia;Madison, Wisconsin;USA;Colombia
Mexico Alva Flores;94.0;Fort Wayne, Indiana;Santa Cruz, Ozolotepec, Oaxaca, Mexico;Medium Light;$18.00/12 ounces;54.0;72.0;5,29;18.0;Mexico;Fort Wayne, Indiana;USA;Mexico
Ethiopia Natural Sidama Blue Donkey Lot 2;96.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $350/8 ounces;62.0;84.0;154,32;350.0;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Trust the Process Costa Rica Finca Carrizal SL28 Black Diamond Natural;95.0;Floyd, Virginia;Sabanilla de Alajuela growing region, Costa Rica;Light;$24.00/8 ounces;62.0;84.0;10,58;24.0;Rica;Floyd, Virginia;USA;Costa Rica
Guatemala Washed Finca El General Gesha;94.0;Chia-Yi, Taiwan;Acatenango, Chimaltenango, Guatemala;Medium Light;NT $420/4 ounces;58.0;77.0;370,37;420.0;Guatemala;Chia-Yi, Taiwan;Taiwan;Guatemala
Guatemala Finca El General Bourbon Honey Espresso;94.0;Chia-Yi, Taiwan;Acatenango, Chimaltenango, Guatemala;Medium Light;NT $420/4 ounces;56.0;76.0;370,37;420.0;Guatemala;Chia-Yi, Taiwan;Taiwan;Guatemala
True Love Espresso Blend;94.0;Chia-Yi, Taiwan;Ethiopia, Guatemala;Medium Light;NT $260/8 ounces;57.0;77.0;114,64;260.0;Guatemala;Chia-Yi, Taiwan;Taiwan;Guatemala
Colombia Sebastian Ramirez Washed Pink Bourbon;97.0;McHenry, Illinois;Quindio Department, Colombia;Light;$30.00/12 ounces;62.0;84.0;8,82;30.0;Colombia;McHenry, Illinois;USA;Colombia
Colombia Manos Juntas Anaerobic Natural;94.0;Peoria, Illinois;Cauca Department, Colombia;Light;$18.00/12 ounces;63.0;85.0;5,29;18.0;Colombia;Peoria, Illinois;USA;Colombia
Ecuador La Papaya Geisha Natural;96.0;Fort Wayne, Indiana;Saraguro, Loja, Ecuador;Medium Light;$38.00/8 ounces;61.0;79.0;16,75;38.0;Ecuador;Fort Wayne, Indiana;USA;Ecuador
Yemen Al Obrah;95.0;Fort Wayne, Indiana;Al Obrah, Hayma Dakhaliya, Sana'a, Yemen;Light;$42.00/8 ounces;62.0;86.0;18,52;42.0;Yemen;Fort Wayne, Indiana;USA;Yemen
Kenya Embu;95.0;Taichung, Taiwan;Embu County, Kenya;Light;NT $1200/227 grams;62.0;80.0;528,63;42.32804232804233;Kenya;Taichung, Taiwan;Taiwan;Kenya
Yemen Ismaili;94.0;Taichung, Taiwan;Bani Ismail District, Sana'a, Yemen;Medium Light;NT $1200/227 grams;57.0;81.0;528,63;42.32804232804233;Yemen;Taichung, Taiwan;Taiwan;Yemen
Guatemala Acatenango Geisha;94.0;Tiachung, Taiwan;Acatenango growing region, Guatemala;Medium Light;NT $1200/227 grams;59.0;79.0;528,63;42.32804232804233;Guatemala;Tiachung, Taiwan;Taiwan;Guatemala
Ethiopia Bench-Maji Lucy Geisha Anaerobic Natural;94.0;Kaohsiung, Taiwan;Bench-Maji Zone, southern Ethiopia;Light;NT $300/100 grams;64.0;88.0;300;10.582010582010582;Ethiopia;Kaohsiung, Taiwan;Taiwan;Ethiopia
Wilton Benitez Colombia Yellow Bourbon;96.0;Madison, Wisconsin;Piendamó, Cauca, Colombia;Light;$22.00/8 ounces;63.0;88.0;9,7;22.0;Colombia;Madison, Wisconsin;USA;Colombia
Kona Tropical Punch Washed;95.0;Hilo, Hawai’i Island, Hawai’i;Kona growing region, Hawai’i Island, Hawai'i;Light;$50.00/4 ounces;68.0;84.0;44,09;50.0;;Hilo, Hawaii;USA;
Granate;94.0;Satipo Province, Peru;Llayla District, Satipo Province, Peru;Medium Light;$13.50/250 grams;57.0;79.0;5,4;0.4761904761904761;Peru;Satipo Province, Peru;Peru;Peru
Kenya Kirinyaga;95.0;Floyd, Virginia;Kirinyaga District, south-central Kenya;Light;$25.00/12 ounces;60.0;82.0;7,35;25.0;Kenya;Floyd, Virginia;USA;Kenya
Costa Rica San Diego;94.0;Fort Wayne, Indiana;Tarrazu, Costa Rica;Medium Light;$22.00/12 ounces;57.0;77.0;6,47;22.0;Rica;Fort Wayne, Indiana;USA;Costa Rica
Costa Rica La Candelilla Geisha;94.0;Floyd, Virginia;Tarrazu, Costa Rica;Light;$35.00/12 ounces;62.0;84.0;10,29;35.0;Rica;Floyd, Virginia;USA;Costa Rica
Ethiopia Agaro Duromina;94.0;San Diego, California;Agaro Duromina, Jimma Zone, Oromia State, Ethiopia;Medium Light;$22.00/12 ounces;59.0;79.0;6,47;22.0;Ethiopia;San Diego, California;USA;Ethiopia
Panama Renaissance Series Flora Geisha Washed;94.0;Taipei, Taiwan;Boquete growing region, western Panama;Light;NT $800/227 grams;68.0;94.0;352,42;28.21869488536155;Panama;Taipei, Taiwan;Taiwan;Panama
Colombia San Martin Bourbon Aji Star Fruit Peach Honey;95.0;Yilan, Taiwan;Huila Department, Colombia;Light;NT $650/200 grams;64.0;88.0;325;22.92768959435626;Colombia;Yilan, Taiwan;Taiwan;Colombia
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural;94.0;Yilan, Taiwan;Alishan, Taiwan;Light;NT $2,700/100 grams;62.0;80.0;2;;Taiwan;Yilan, Taiwan;Taiwan;Taiwan
Las Margaritas Colombia Sudan Rume Natural;95.0;Madison, Wisconsin;Caicendonia, Valle Del Cauca, Cauca Department, Colombia;Light;$25.00/8 ounces;62.0;86.0;11,02;25.0;Colombia;Madison, Wisconsin;USA;Colombia
Yabitu Koba Ethiopia;95.0;Madison, Wisconsin;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$23.00/12 ounces;58.0;78.0;6,76;23.0;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Pantan Musara Sumatra;94.0;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$23.00/12 ounces;57.0;80.0;6,76;23.0;Indonesia;Madison, Wisconsin;USA;Indonesia
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1;94.0;Taipei, Taiwan;Yirgacheffe growing region, south-central Ethiopia;Light;NT $339/8 ounces;65.0;93.0;149,47;339.0;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Guatemala El Soccoro Maracaturra Washed;94.0;Baronett, Wisconsin;Palencia, Guatemala Department, Guatemala;Medium Light;$20.00/12 ounces;60.0;78.0;5,88;20.0;Guatemala;Barronett, Wisconsin;USA;Guatemala
Ethiopia Sidama Bensa Alo Single Variety 74158 Natural;94.0;New Taipei City, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $840/113 grams;66.0;88.0;743,36;29.62962962962963;Ethiopia;New Taipei, Taiwan;Taiwan;Ethiopia
El Salvador Loma La Gloria Unicorn Natural;95.0;Reno, Nevada;El Bálsamo, Quetzaltepec growing region, El Salvador;Light;$29.00/10 ounces;64.0;88.0;10,23;29.0;Salvador;Reno, Nevada;USA;El Salvador
Costa Rica Las Lajas SL-28 Natural;94.0;Durango, Colorado;Sabanilla de Alajuela growing region, Costa Rica;Light;$30.00/12 ounces;58.0;84.0;8,82;30.0;Rica;Durango, Colorado;USA;Costa Rica
Ethiopia Faysel Abdosh;94.0;Fort Wayne, Indiana;Chericho, Sidamo growing region, Ethiopia;Light;$20.00/12 ounces;64.0;88.0;5,88;20.0;Ethiopia;Fort Wayne, Indiana;USA;Ethiopia
Kenya Kii;94.0;San Diego, California;Kirinyaga County, Kenya;Medium Light;$26.00/250 grams;58.0;82.0;10,4;0.9171075837742504;Kenya;San Diego, California;USA;Kenya
Ethiopia Guji Bishala G1 Red Honey;94.0;Taichung, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Medium Light;NT $460/8 ounces;58.0;80.0;202,82;460.0;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1;94.0;Taichung, Taiwan;Bensa district, Sidama Zone, southern Ethiopia;Light;NT $720/8 ounces;66.0;89.0;317,46;720.0;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
Kenya Nyeri Hill AB;96.0;Lexington, Virginia;Nyeri growing region, south-central Kenya;Medium Light;$23.50/12 ounces;58.0;82.0;6,91;45800.0;Kenya;Lexington, Virginia;USA;Kenya
Ethiopia Sidama  Bombe Natural;94.0;Taitung, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $350/200 grams;61.0;85.0;175;12.34567901234568;Ethiopia;Taitung, Taiwan;Taiwan;Ethiopia
Ethiopia Kayon Mountain;95.0;Lexington, Virginia;Odo Shakiso District, Guji Zone, southern Ethiopia;Light;$24.00/12 ounces;64.0;88.0;7,05;24.0;Ethiopia;Lexington, Virginia;USA;Ethiopia
Colombia Red Sunset;94.0;Lexington, Virginia;Santa Barbara, Antioquia Department, Colombia;Light;$27.00/12 ounces;60.0;84.0;7,94;27.0;Colombia;Lexington, Virginia;USA;Colombia
Ethiopia Gesha Village Lot 108;94.0;Jersey City, New Jersey;Bench-Maji Zone, southern Ethiopia;Light;$30.00/50 grams;66.0;89.0;60;1.058201058201058;Ethiopia;Jersey, New Jersey;USA;Ethiopia
Panama Geisha Vuelta DRD Natural Lot GN-01;97.0;Hilo, Hawai’i Island, Hawai’i;Boquete growing region, western Panama;Light;$400.00/20 grams;64.0;88.0;2000;14.109347442680775;Panama;Hilo, Hawaii;USA;Panama
Panama Kaizen Lot GW-01;96.0;Hilo, Hawai’i Island, Hawai’i;Boquete growing region, western Panama;Light;$400.00/20 grams;65.0;90.0;2000;14.109347442680775;Panama;Hilo, Hawaii;USA;Panama
Kona Geisha Champagne Natural;95.0;Hilo, Hawai’i Island, Hawai’i;Hōlualoa, North Kona growing region, Hawai’i Island, Hawai’i;Light;$200.00/4 ounces;64.0;88.0;176,37;200.0;;Hilo, Hawaii;USA;
Ethiopia Nano Genji Lot #8;94.0;Manlius, New York;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Light;$22.00/12 ounces;64.0;84.0;6,47;22.0;Ethiopia;Manlius, New York;USA;Ethiopia
Colombia Hacienda La Pradera Mokka;94.0;Manlius, New York;Santander Department, Colombia;Light;$42.00/12 ounces;64.0;88.0;12,35;42.0;Colombia;Manlius, New York;USA;Colombia
La Piragua Pink Bourbon Colombia;94.0;Madison, Wisconsin;Palestina, Huila Department, Colombia;Light;$22.00/12 ounces;62.0;84.0;6,47;22.0;Colombia;Madison, Wisconsin;USA;Colombia
Kenya Baragwi Guama;94.0;Fort Wayne, Indiana;Guama Village, Kirinyaga County, Kenya;Medium Light;$22.00/12 ounces;60.0;78.0;6,47;22.0;Kenya;Fort Wayne, Indiana;USA;Kenya
Ethiopia Washed Uraga More Floral Kurume Espresso;95.0;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $270/8 ounces;58.0;79.0;119,05;270.0;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Natural Sidama ALO Village FL;95.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $480/4 ounces;62.0;84.0;423,28;480.0;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Washed Sidama Bura Karamo 74158;95.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $320/8 ounces;64.0;84.0;141,09;320.0;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Natural Guji Hambella Wamena Buku G1;94.0;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $320/8 ounces;64.0;88.0;141,09;320.0;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Guatemala Naranjas Nadando;95.0;Topeka, Kansas;Huehuetenango, Guatemala;Light;$22.00/10 ounces;62.0;84.0;7,76;22.0;Guatemala;Topeka, Kansas;USA;Guatemala
Songstress Geisha;95.0;Taipei, Taiwan;Bench-Maji Zone, southern Ethiopia;Light;NT $370/8 ounces;64.0;86.0;163,14;370.0;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Ethiopia Gesha Village Surma 1931 Mossto Anaerobic Honey;95.0;Baronett, Wisconsin;Bench-Maji Zone, southern Ethiopia;Light;$40.00/6 ounces;62.0;84.0;23,52;40.0;Ethiopia;Barronett, Wisconsin;USA;Ethiopia
Panama Bambito Estate Geisha;95.0;San Diego, California;Volcan Baru, Boquete growing region, Panama;Light;$38.75/4 ounces;64.0;88.0;34,17;38.75;Panama;San Diego, California;USA;Panama
Colombia Efren Echeverry;94.0;Fort Wayne, Indiana;Pitalito, Huila Department, Colombia;Light;$25.00/12 ounces;62.0;84.0;7,35;25.0;Colombia;Fort Wayne, Indiana;USA;Colombia
Pueo Blend;94.0;Hilo, Hawai'i;Guatemala and other undisclosed origins;Medium Light;$20.00/10 ounces;50.0;77.0;7,05;20.0;;Hilo, Hawaii;USA;
Wai Meli Morning;94.0;Mountain View, Hawai'i;Kona and Ka’u, Hawai’i, other undisclosed origins;Medium Light;$30.00/10 ounces;54.0;72.0;10,58;30.0;;Mountain View, Hawaii;USA;
Ayla Bombe Natural;94.0;Madison, Wisconsin;Sidamo growing region, southern Ethiopia;Light;$22.00/12 ounces;63.0;87.0;6,47;22.0;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Wilton Benitez Striped Bourbon Colombia;94.0;Madison, Wisconsin;Piendamó, Cauca, Colombia;Light;$25.00/8 ounces;62.0;84.0;11,02;25.0;Colombia;Madison, Wisconsin;USA;Colombia
Buena Vista Pink Bourbon Colombia;94.0;Madison, Wisconsin;La Muralla, Huila Department, Colombia;Medium Light;$22.00/8 ounces;59.0;77.0;9,7;22.0;Colombia;Madison, Wisconsin;USA;Colombia
Yunlin Washed Geisha;96.0;Yunlin, Taiwan;Yunlin County, Taiwan;Light;NT $800/120 grams;64.0;90.0;666,67;28.21869488536155;Taiwan;Yunlin, Taiwan;Taiwan;Taiwan
Ethiopia Banko Washed;96.0;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Light;$24.00/12 ounces;62.0;84.0;7,05;24.0;Ethiopia;Floyd, Virginia;USA;Ethiopia
Colombia Villa Betulia CM Sidra;96.0;Denver, Colorado;Acevedo, Huila Department, Colombia;Light;$46.00/8 ounces;60.0;84.0;20,28;46.0;Colombia;Denver, Colorado;USA;Colombia
Ethiopia Anaerobic Worka Sakaro;95.0;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Light;$24.00/12 ounces;66.0;92.0;7,05;24.0;Ethiopia;Floyd, Virginia;USA;Ethiopia
Costa Rica Hacienda Sonora Natural Milenio;94.0;Denver, Colorado;Alajuela, Central Valley, Costa Rica;Light;$19.00/8 ounces;62.0;84.0;8,38;19.0;Rica;Denver, Colorado;USA;Costa Rica
Costa Rica Alma Negra Natural;94.0;Floyd, Virginia;Alajuela, Central Valley, Costa Rica;Light;$25.00/12 ounces;58.0;88.0;7,35;25.0;Rica;Floyd, Virginia;USA;Costa Rica
El Salvador Finca Santa Sofia Natural Kenya;94.0;Denver, Colorado;Santa Ana, El Salvador;Light;$22.00/8 ounces;68.0;94.0;9,7;22.0;Salvador;Denver, Colorado;USA;El Salvador
Colombia Aponte Honey;94.0;Floyd, Virginia;Aponte, Nariño Department, Colombia;Light;$23.00/12 ounces;64.0;88.0;6,76;23.0;Colombia;Floyd, Virginia;USA;Colombia
Finca Huixoc Geisha;94.0;Antigua Guatemala, Guatemala;La Democracia, Huehuetenango Department, Guatemala;Light;$24.00/12 ounces;60.0;82.0;7,05;24.0;Guatemala;Antigua, Guatemala;Guatemala;Guatemala
Costa Rica Rivense Finca El Mango Honey Process;94.0;Thermopolis, Wyoming;Chirripo, Brunca growing region, Costa Rica;Light;$16.00/12 ounces;62.0;84.0;4,7;16.0;Rica;Thermopolis, Wyoming;USA;Costa Rica
El Salvador Unicorn;94.0;Truckee, California;El Bálsamo Quetzaltepec, El Salvador;Medium Light;$24.00/8 ounces;58.0;80.0;10,58;24.0;Salvador;Truckee, California;USA;El Salvador
Kenya Kiamwangi Factory AA TOP;94.0;Taipei, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $389/8 ounces;60.0;80.0;171,52;389.0;Kenya;Taipei, Taiwan;Taiwan;Kenya
Ethiopia Sidama Bensa Hamasho Washed TOH#2;94.0;Taipei, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $349/8 ounces;64.0;86.0;153,88;349.0;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Costa Rica Red Java Honey Finca Los Pinitos;95.0;Charlotte, North Carolina;Alajuela, Central Valley, Costa Rica;Light;$29.00//12 ounces;60.0;88.0;8,52;;Rica;Charlotte, North Carolina;USA;Costa Rica
